rcID,lsoa11cd,distance
RC_EW_2713,E01006670,16614
RC_EW_2713,E01006671,16024
RC_EW_2713,E01006672,13162
RC_EW_2713,E01006673,11552
RC_EW_2713,E01006674,11544
RC_EW_2713,E01006675,12109
RC_EW_2713,E01006676,10986
RC_EW_2713,E01006677,11606
RC_EW_2713,E01006678,11711
RC_EW_2713,E01006679,11083
RC_EW_2713,E01006680,18176
RC_EW_2713,E01006681,16528
RC_EW_2713,E01006682,17757
RC_EW_2713,E01006683,18166
RC_EW_2713,E01006684,17669
RC_EW_2713,E01006685,17544
RC_EW_2713,E01006686,18632
RC_EW_2713,E01006687,18258
RC_EW_2713,E01006688,17889
RC_EW_2713,E01006689,15851
RC_EW_2713,E01006690,11489
RC_EW_2713,E01006691,10156
RC_EW_2713,E01006692,11746
RC_EW_2713,E01006693,9887
RC_EW_2713,E01006694,10184
RC_EW_2713,E01006695,10790
RC_EW_2713,E01006696,9951
RC_EW_2713,E01006697,10389
RC_EW_2713,E01006698,9597
RC_EW_2713,E01006699,8923
RC_EW_2713,E01006700,8701
RC_EW_2713,E01006701,8539
RC_EW_2713,E01006702,8356
RC_EW_2713,E01006703,8162
RC_EW_2713,E01006705,9862
RC_EW_2713,E01006706,21049
RC_EW_2713,E01006707,18984
RC_EW_2713,E01006708,18191
RC_EW_2713,E01006709,17941
RC_EW_2713,E01006710,20621
RC_EW_2713,E01006711,11928
RC_EW_2713,E01006712,12866
RC_EW_2713,E01006713,12844
RC_EW_2713,E01006716,12775
RC_EW_2713,E01006717,13186
RC_EW_2713,E01006718,12756
RC_EW_2713,E01006719,13248
RC_EW_2713,E01006720,11293
RC_EW_2713,E01006721,12374
RC_EW_2713,E01006722,12131
RC_EW_2713,E01006723,12457
RC_EW_2713,E01006724,12636
RC_EW_2713,E01006725,12519
RC_EW_2713,E01006726,11671
RC_EW_2713,E01006727,12370
RC_EW_2713,E01006728,11903
RC_EW_2713,E01006729,11441
RC_EW_2713,E01006730,11675
RC_EW_2713,E01006731,12097
RC_EW_2713,E01006732,11325
RC_EW_2713,E01006734,12605
RC_EW_2713,E01006735,12434
RC_EW_2713,E01006736,12413
RC_EW_2713,E01006737,12164
RC_EW_2713,E01006738,19955
RC_EW_2713,E01006739,22003
RC_EW_2713,E01006740,19741
RC_EW_2713,E01006741,22022
RC_EW_2713,E01006742,17380
RC_EW_2713,E01006743,20537
RC_EW_2713,E01006744,18666
RC_EW_2713,E01006745,18823
RC_EW_2713,E01006746,9528
RC_EW_2713,E01006747,9000
RC_EW_2713,E01006748,9640
RC_EW_2713,E01006751,10259
RC_EW_2713,E01006752,11241
RC_EW_2713,E01006753,22891
RC_EW_2713,E01006754,24382
RC_EW_2713,E01006755,22072
RC_EW_2713,E01006756,22241
RC_EW_2713,E01006757,23902
RC_EW_2713,E01006758,21314
RC_EW_2713,E01006759,11921
RC_EW_2713,E01006760,11482
RC_EW_2713,E01006761,11792
RC_EW_2713,E01006762,10225
RC_EW_2713,E01006763,12208
RC_EW_2713,E01006764,11321
RC_EW_2713,E01006765,11790
RC_EW_2713,E01006766,9799
RC_EW_2713,E01006767,10278
RC_EW_2713,E01006768,12358
RC_EW_2713,E01006769,15938
RC_EW_2713,E01006770,16953
RC_EW_2713,E01006771,18262
RC_EW_2713,E01006772,17482
RC_EW_2713,E01006773,14883
RC_EW_2713,E01006774,16007
RC_EW_2713,E01006775,16751
RC_EW_2713,E01006776,8380
RC_EW_2713,E01006778,8563
RC_EW_2713,E01006779,7515
RC_EW_2713,E01006780,12905
RC_EW_2713,E01006781,12208
RC_EW_2713,E01006782,12208
RC_EW_2713,E01006783,12463
RC_EW_2713,E01006784,12003
RC_EW_2713,E01006785,11186
RC_EW_2713,E01006786,12069
RC_EW_2713,E01006787,11626
RC_EW_2713,E01006788,10795
RC_EW_2713,E01006790,10226
RC_EW_2713,E01006791,10326
RC_EW_2713,E01006792,16705
RC_EW_2713,E01006793,17625
RC_EW_2713,E01006794,17717
RC_EW_2713,E01006795,17868
RC_EW_2713,E01006796,16001
RC_EW_2713,E01006797,18493
RC_EW_2713,E01006798,18172
RC_EW_2713,E01006799,17000
RC_EW_2713,E01006800,16376
RC_EW_2713,E01006801,16846
RC_EW_2713,E01006802,29545
RC_EW_2713,E01006803,29568
RC_EW_2713,E01006804,29617
RC_EW_2713,E01006805,31542
RC_EW_2713,E01006806,28454
RC_EW_2713,E01006807,27814
RC_EW_2713,E01006808,30895
RC_EW_2713,E01006809,30594
RC_EW_2713,E01006810,27268
RC_EW_2713,E01006811,27139
RC_EW_2713,E01006812,28372
RC_EW_2713,E01006813,29051
RC_EW_2713,E01006814,27237
RC_EW_2713,E01006815,27827
RC_EW_2713,E01006816,30667
